"year","q","y","p","pb","pcorn","pf","qprod","lexpts","popgro"
1968,25.2000007629395,12196,1.47125995159149,1.08907997608185,1.3074699640274,1.42315995693207,4623.5712890625,-0.0897625014185905,1.00349998474121
1969,26.2999992370605,12451,1.47411000728607,1.13624000549316,1.34332001209259,1.37226998806,4986.01953125,-0.0667894035577774,0.98199999332428
1970,27.3999996185303,12823,1.35052001476288,1.12112998962402,1.40463995933533,1.36986994743347,5341.61865234375,-0.0505225993692875,1.17180001735687
1971,27.3999996185303,13218,1.30616998672485,1.12346005439758,1.37530994415283,1.34679996967316,5367.3115234375,-0.0583675988018513,1.27240002155304
1972,28.2999992370605,13692,1.27751004695892,1.18900001049042,1.24641001224518,1.31157994270325,5661.45849609375,-0.0480371005833149,1.07630002498627
1973,27.1000003814697,14496,1.73649001121521,1.34233999252319,2.00449991226196,1.90681004524231,5532.77197265625,-0.037246398627758,0.958999991416931
1974,27,14268,1.4665299654007,1.24340999126434,2.60040998458862,1.90734004974365,5583.279296875,-0.0335987992584705,0.917800009250641
1975,26.3999996185303,14393,1.51301002502441,1.15056002140045,2.14125990867615,1.69389998912811,5573.08740234375,-0.0228128992021084,0.990899980068207
1976,28.5,14873,1.35149002075195,1.05271995067596,1.89103996753693,1.6496399641037,6262.73193359375,0.0078120999969542,0.954699993133545
1977,29,15256,1.2755800485611,0.981850028038025,1.45214998722076,1.57193005084991,6448.54345703125,0.00960039999336004,1.01080000400543
1978,30.3999996185303,15845,1.31288003921509,1.12117004394531,1.41103994846344,1.4481999874115,6881.177734375,0.0167935006320477,1.06519997119904
1979,32.7999992370605,16120,1.2010999917984,1.28236997127533,1.43938994407654,1.45345997810364,7593.0126953125,0.028210399672389,1.10969996452332
1980,32.7000007629395,16063,1.14563000202179,1.19416999816895,1.44659996032715,1.39971995353699,7819.29443359375,0.0488313995301723,1.18680000305176
1981,33.7000007629395,16265,1.06160998344421,1.09131002426147,1.38504004478455,1.39339005947113,8247.4658203125,0.0622319988906384,0.98360002040863
1982,33.9000015258789,16328,0.982379972934723,1.04249000549316,1.03627002239227,1.21254003047943,8336.130859375,0.0573921017348766,0.966199994087219
1983,34,16673,0.966870009899139,0.994979977607727,1.28916001319885,1.24816000461578,8565.333984375,0.0724857002496719,0.912599980831146
1984,35.2999992370605,17799,1.04909002780914,0.965349972248077,1.24831998348236,1.25179004669189,8979.0322265625,0.0734592005610466,0.871100008487701
1985,36.4000015258789,18229,0.971189975738525,0.912639975547791,0.984200000762939,1.02006995677948,9395.1064453125,0.0791487023234367,0.896099984645844
1986,37.2000007629395,18641,1.05291998386383,0.901459991931915,0.761860013008118,0.953119993209839,9854.166015625,0.0959931015968323,0.916299998760223
1987,39.4000015258789,18870,0.997359991073608,0.935739994049072,0.59595000743866,0.908259987831116,10710.9814453125,0.113004498183727,0.894699990749359
1988,39.5999984741211,19522,1.05747997760773,0.947589993476868,0.820789992809296,1.2540500164032,11123.6875,0.136659100651741,0.913100004196167
1989,40.9000015258789,19833,1.10564994812012,0.962100028991699,0.825810015201569,1.15367996692657,11971.5849609375,0.168389201164246,0.947300016880035
1990,42.4000015258789,20058,1.03213000297546,0.985459983348846,0.772000014781952,1.00194001197815,12807.43359375,0.189279794692993,1.06369996070862
1991,44.0999984741211,19873,0.96696001291275,0.972100019454956,0.712189972400665,0.929949998855591,13614.388671875,0.197705999016762,1.34529995918274
1992,46.5,20220,0.940129995346069,0.942979991436005,0.684249997138977,0.893630027770996,14526.591796875,0.19646529853344,1.31879997253418
1993,48.2000007629395,20235,0.955020010471344,0.948790013790131,0.642910003662109,0.909340023994446,15298.7568359375,0.199343904852867,1.30900001525879
1994,48.7999992370605,20507,0.945339977741241,0.917680025100708,0.675440013408661,0.920880019664764,16446.16796875,0.247104495763779,1.22640001773834
1995,48.2000007629395,20798,0.933070003986359,0.885169982910156,0.715219974517822,0.908680021762848,17253.04296875,0.29552099108696,1.19210004806519
1996,48.7999992370605,21072,0.972590029239655,0.857230007648468,1.01020002365112,1.11117994785309,18154.111328125,0.322409301996231,1.17170000076294
1997,49.5,21470,0.987540006637573,0.85233998298645,0.685980021953583,0.983049988746643,18791.794921875,0.330625414848328,1.21379995346069
1998,49.7999992370605,22359,0.979139983654022,0.837419986724854,0.562579989433289,0.791079998016357,19188.576171875,0.333817601203918,1.17279994487762
1999,52.9000015258789,22678,0.971189975738525,0.835529983043671,0.469390004873276,0.617649972438812,20668.08984375,0.336215108633041,1.15559995174408
2000,53.2000007629395,23501,0.945990025997162,0.860050022602081,0.443670004606247,,21191.91796875,0.343677192926407,1.19830000400543
2001,53.9000015258789,23692,0.948620021343231,0.906270027160645,0.444950014352798,,,,1.37100005149841
