year,aus_gdp,aus_gwth,aus_share,aus_tax,ca_gdp,ca_gwth,ca_share,ca_tax,nz_gdp,nz_gwth,nz_share,nz_tax,us_gdp,us_gwth,us_share,us_tax
1947,6664.4,2.809545,10.62,29.3,7088.2,2.264633,10.993,35,7846.3,3.878716,9.68,29.7,8886,-3.376797,10.95,50.4
1948,6967.5,4.198939,10.8,28.9,7065.3,-0.3228798,10.39,31,6929,-7.090863,9.7,30.2,9064.6,2.009543,11.27,33.4
1949,7236.8,3.703099,11.26,23.9,7064.1,-0.0176021,10.685,26,7520.6,9.561753,9.98,31.3,8943.7,-1.33286,10.95,33.4
1950,7411.6,2.397338,14.13,42.7,7291.5,5.281085,10.878,26,8455.6,6.43076,11.4,69,9561.3,6.905425,11.36,34.6
1951,7507.3,-0.1754666,9.08,36.7,7533.5,3.341153,10.032,33,7653.3,-6.859851,9.84,66,10116.2,5.803559,10.52,43
1952,7417.8,-0.3536747,8.99,37,7833,3.98984,9.845,35.5,7796.3,1.561513,9.9,63,10315.5,1.970081,9.76,48
1953,7505.3,2.549362,8.71,32.6,7984.3,1.922821,9.876,31,7855.9,3.390758,9.9,61.5,10612.6,2.879765,9.08,48
1954,7790.6,3.620918,8.06,32.6,7699.4,-3.536801,10.331,28.5,8743.4,8.156243,9.54,60,10359.1,-2.388665,9.39,43
1955,8027.4,2.053218,7.54,29.9,8201.3,6.495867,10.189,32.5,8725.4,0.5903946,8.76,60,10896.9,5.191049,9.18,43
1956,8108.3,0.3524566,7.91,29.7,8651.9,5.455213,9.625,31.5,9000.2,2.421013,8.91,60,10914.3,0.159931,9.09,43
1957,8090.2,1.166491,7.04,29.8,8606.7,-0.5224745,9.639,31.5,9045,0.795505,8.65,60,10920,0.0522671,8.98,47
1958,8305.5,3.28285,7.44,31.2,8534,-0.844997,9.889,31.5,9185.5,2.365927,7.26,60,10630.5,-2.650724,8.83,47
1959,8628.4,2.915567,7.39,31.1,8676.2,1.666528,9.735,32.5,9630.1,3.151941,7.6,60,11230.2,5.640748,8.75,47
1960,8790.9,0.196517,7.09,33,8752.5,1.099238,9.768,33.5,9465.2,-0.4886639,7.44,60,11328.5,0.8753764,8.36,43
1961,8653.1,1.376687,7.1,31.4,8832.7,0.8736546,9.926,38.5,9744.9,2.481065,7.34,60,11401.7,0.6466794,8.34,43
1962,9026.8,4.224432,7.23,32.5,9276.9,5.019553,9.371,38.5,9730.6,0.865548,7.25,60,11905,4.413803,8.27,47
1963,9399.9,4.45049,7.36,34.4,9566.4,3.128073,9.142,38.5,10132,3.797749,7.29,60,12242.3,2.833737,8.16,47
1964,9848.9,3.907098,6.84,35.9,9999.4,4.533521,9.382,43.5,10418.4,3.212807,7.42,60,12772.6,4.331083,8.02,44.5
1965,10151.9,1.767694,6.69,55,10472.9,4.72708,9.201,43.5,10878.7,4.485093,6.72,60,13418.7,5.058774,8.07,42
1966,10241.3,2.725008,6.47,55,10946.1,4.50994,8.908,43.5,11362,1.68379,6.56,60,14133.5,5.32708,8.37,45
1967,10732.7,4.473754,6.58,57.9,11078.3,1.209125,8.997,43.5,10682,-4.939348,6.59,60,14330,1.390338,8.43,48
1968,11148.3,3.954517,6.38,57.9,11479.1,3.585166,9.035,44,10545.5,1.47379,6.72,66,14862.9,3.718823,8.35,51.6
1969,11561,4.088446,6.25,57.9,11912.4,3.767657,9.008,45.3,11511.2,6.059584,6.7,67,15179.4,2.129255,8.02,55
1970,12023.5,2.083459,5.92,56.4,12050.5,1.157816,8.969,45.3,11189.3,-1.253362,6.64,70.3,15029.8,-0.9852988,7.8,51.3
1971,12289.5,0.473411,5.92,56.4,12561.9,2.074869,8.866,49.7,11576.2,3.302985,6.43,53.3,15304.3,1.826052,7.79,50
1972,12404.4,2.42023,6.06,60.3,13072.5,4.060189,8.748,49,11850.4,3.162601,7.08,46.3,15943.9,4.179013,7.75,50
1973,12878.1,2.323319,5.67,64,13837.9,5.855078,8.796,48.9,12424.2,4.704282,7.47,45,16689.3,4.675626,7.74,50
1974,12985.1,1.152237,5.22,64,14204.7,2.69647,8.812,50.9,12879.3,2.090151,7.55,50,16491.3,-1.186825,8.12,50
1975,13169.8,2.227496,5.13,65,14316.3,0.7435996,8.741,50.9,12488.6,-1.835978,6.56,57.2,16283.6,-1.259073,8.01,50
1976,13558.8,1.431238,4.99,60,14902.4,4.09104,8.078,50.9,12648.3,-0.2128802,7.48,60,16975.1,4.246312,7.89,50
1977,13546.4,0.8091121,4.92,46,15222.7,2.153134,7.742,51.8,11989,-3.890152,6.13,59.2,17566.5,3.484025,7.9,50
1978,13768.7,2.926119,4.87,47.5,15680.2,3.005067,7.602,51.8,12033.9,0.7160284,6.12,58.5,18373,4.59095,7.95,50
1979,14319.5,2.407621,4.83,61.1,16170.1,3.122897,7.715,51.8,12284.2,1.429743,5.77,60,18789.4,2.26649,8.03,50
1980,14411.8,1.51912,4.79,60,16175.7,0.0360236,8.06,51.8,12346.7,1.48027,5.65,60,18577.4,-1.128239,8.18,50
1981,14660.3,0.1954639,4.61,60,16472.4,1.833258,7.8,52.6,12883.9,3.5489,5.5,60,18855.6,1.497356,8.03,50
1982,14390.7,-1.59473,4.67,60,15779.4,-4.207674,8.455,50.3,13022,1.122922,5.49,66,18325.1,-2.813317,8.39,50
1983,14196.8,2.115421,4.68,60,16076.4,1.883855,8.214,50.3,13234,2.009612,5.68,66,18920.2,3.247271,8.59,50
1984,14995.3,4.620766,4.75,60,16835.8,4.721713,8.285,50.3,13746.1,2.982843,5.6,66,20122.7,6.35575,8.89,49
1985,15545.9,2.113134,5.02,60,17582.1,4.43168,8.214,52,13771.8,0.7417667,5.51,66,20717.3,2.955149,9.09,49
1986,15640.7,1.987457,5.39,57.1,17862.1,1.994431,8.244,54.9,14016.9,1.345033,4.88,57,21236.1,2.503778,9.13,49
1987,16172.8,3.072912,6.67,49,18348.2,2.703818,8.397,52.5,14037.3,-0.4716676,5.48,48,21787.7,2.597411,10.75,38.5
1988,16630.4,2.721803,8.41,49,18993.1,3.498708,9.335,46.1,13939.4,-0.3774085,5.35,40.5,22499.4,3.267116,13.17,28
1989,17092.7,1.319887,6.43,48,19108.5,0.5883095,10.01,47.2,14020.1,0.0640056,6.59,33,23059.3,2.487926,12.61,28
1990,17106,-1.047292,6.34,47,18872.4,-1.253758,9.348,48.2,13909.1,-2.163555,8.21,33,23200.6,0.6767666,12.98,28
1991,16915.3,-0.3880277,6.41,47,18255.2,-3.064505,9.365,48.8,13574.7,-3.828537,7.96,33,22848.5,-1.277114,12.17,31.1
1992,17307.6,2.092158,6.55,47,18152.7,-0.3189676,9.313,49.1,13561.8,0.8220407,8.4,33,23298.1,2.216733,13.48,31.1
1993,17771.8,3.343517,6.96,47,18323.3,1.139554,9.555,51.5,14281,4.061256,8.76,33,23616.1,1.291014,12.82,36.3
1994,18309,3.501136,7.13,47,18980.3,3.527442,9.592,51.5,14856.3,4.001246,9,33,24278.6,3.016839,12.85,36.3
1995,18854.7,2.885682,7.23,47,19273.7,1.626611,10.002,52.3,15259,2.241764,8.98,33,24603.2,1.761451,13.53,40.1
1996,19322,2.454768,7.24,47,19346.2,0.5111088,10.624,52,15556.3,1.71808,8.92,33,25230.2,2.655701,14.11,40.1
1997,19947.6,3.262536,7.81,47,19952.6,3.137333,11.524,49,15546.3,1.001805,9.16,33,26051.6,3.448151,14.77,39.6
1998,20779,3.828604,7.84,47,20547.9,3.256202,12.177,49.4,15415.2,-0.1135591,10.21,33,26824.4,3.302942,15.29,39.6
1999,21333.6,2.760905,8.84,47,21470.6,4.48199,12.617,48.3,16007.2,3.49379,13.77,33,27698.9,3.149131,15.87,39.6
2000,21549.3,1.74483,9.03,47,22366.2,3.640252,13.562,47.9,16178.5,2.435668,8.25,39,28403.4,2.833495,16.49,39.6
